index,question,answer,response_gemini,running_time_gemini,score,counts,totals,precisions,bp,sys_len,ref_len,rouge1,rouge2,rougeL,rougeLsum
63,Apa saja yang dihasilkan dari kelompok FoodEnviroment Nanotechnology?,"Rekam jejak dari kelompok penelitian Food and Environment Nanotechnology pembuatan absorban dari bahan sintetik, seperti metal-organic framework (MOF), untuk absorbsi dan dekomposisi bahan pewarna, pembuatan absorban dari bahan sintetik, seperti metal-organic framework (MOF), untuk absorbsi dan pemisahan ion logam berat (Pb2+, Cd2+, Hg2+, dan lainnya), analisis dan karakterisasi absorban menggunakan instrument, seperti (single crystal dan powder) X-Ray Difraction, CHN analysis, SEM-EDS, thermal, UV-Vis dan Photoluminescence spectroscopy. ","Tentu, berikut adalah beberapa publikasi yang dihasilkan oleh kelompok FoodEnviroment Nanotechnology:

* Aliyu M. Hamisu, Azhar Ariffin, Arief C. Wibowo*, Cation Exchange in Metal-Organic Frameworks (MOFs): The Hard-Soft Acid-Base (HSAB) Principle Appraisal, Inorg. Chim. Acta. 2020, 511, 119801.
* Aliyu M. Hamisu, Fendi Y. Wardana, Irshad Baig, Azhar Ariffin, Christos Malliakas, Arief C. Wibowo*, A New Synthetic Approach for Solid Solution in Coordination Polymer: Cation Vacancy and Tunable Photoluminescence, J. Solid State Chem. 2019, 279, 120948.
* Fendi Y. Wardana, Seik-Weng Ng, Arief C. Wibowo*, The Lead Coordination Polymers Containing Pyrazine-2,3-Dicarboxylic Acid: Rapid Structural Transformations and Cation Exchange, Cryst. Growth Des., 2015, 15, 5930.",5.303096055984497,0.0,"[23, 0, 0, 0]","[157, 156, 155, 154]","[14.65, 0.0, 0.0, 0.0]",1.0,157,92,0.06703910614525138,0.011299435028248586,0.055865921787709494,0.06703910614525138
64,Publikasi apa saja yang dihasilkan dari kelompok FoodEnviroment Nanotechnology?,"Publikasi yang telah diterbitkan oleh kelompok penelitian Food and Environment Nanotechnology Pembuatan absorban dari bahan sintetik, seperti metal-organic framework (MOF), untuk absorbsi dan dekomposisi bahan pewarna, Pembuatan absorban dari bahan sintetik, seperti metal-organic framework (MOF), untuk absorbsi dan pemisahan ion logam berat (Pb2+, Cd2+, Hg2+, dan lainnya) dan Analisis dan karakterisasi absorban menggunakan instrument, seperti (single crystal dan powder) X-Ray Difraction, CHN analysis, SEM-EDS, thermal, UV-Vis dan Photoluminescence spectroscopy. ","Kelompok Food Enviroment Nanotechnology mendapatkan sumber dana dari:
- Hibah internal Riset Mandat Dosen Muda Universitas Airlangga.
- Hibah program penelitian kolaborasi Indonesia.
- Penelitian unggulan fakultas internal Universitas Airlangga.
- Fundamental Research Grant Scheme, Ministry of Education, Malaysia.
- High Impact Research Grant, University of Malaya, Malaysia.",3.3272693157196045,0.0,"[9, 0, 0, 0]","[58, 57, 56, 55]","[15.52, 0.0, 0.0, 0.0]",0.5375735693311238,58,94,0.08547008547008546,0.0,0.06837606837606838,0.08547008547008546
65,Kelompok Food Enviroment Nanotechnology mendapatkan sumber dana dari mana?,"Sumber dana penelitian untuk kelompok penelitian Food and Environment Tecnology diperoleh dari Hibah internal Riset Mandat Dosen Muda Universitas Airlangga, Hibah program penelitian kolaborasi Indonesia, Penelitian unggulan fakultas internal Universitas Airlangga, Fundamental, Research Grant Scheme, Ministry of Education, Malaysia, High Impact Research Grant, University of Malaya, Malaysia. ",Visi dari Nanotechnology and Nanomedicine adalah untuk menyediakan inovasi (bio)nanosensor yang paling canggih.,3.923065423965454,0.0,"[4, 0, 0, 0]","[17, 16, 15, 14]","[23.53, 0.0, 0.0, 0.0]",0.09508907677188685,17,57,0.0983606557377049,0.0,0.032786885245901634,0.032786885245901634
66,Apa Visi dari Nanotechnology and Nanomedicine?,"Nanotechnology and Nanomedicine memiliki visi memberikan inovasi (bio)nanosensor yang paling canggih dan misi yaitu mengembangkan proses preparasi sensor berbasis nanoteknologi dengan berbagai metode, mengembangkan nanokomposit dan nanopartikel sebagai sumber material untuk pembangkitan sensor, mengembangkan proses analisis selama pengujian material sensor dan mengembangkan aplikasi (bio)nanosensors di bidang kedokteran dan lingkungan. ","Hasil penelitian Nanotechnology and Nanomedicine antara lain:
- Sensor menggunakan boron-doped diamond nanoparticles modified material untuk antibiotic electrochemistry sensor (ciprofloxacin, levofloxacin, ofloxacin).
- Sensor elektrokimia untuk pemanis menggunakan elektroda boron-doped diamond.
- Uji in vitro dan in vivo, seperti uji antibakteri dan antikanker.
- Analisis dan karakterisasi nanomaterial menggunakan X-Ray Diffraction, SEM dan TEM.
- Sensor nanomaterial dari metode analisis tipis canggih, seperti sinkrotron dan hamburan nuklir.",3.605494737625122,0.0,"[18, 3, 1, 0]","[80, 79, 78, 77]","[22.5, 3.8, 1.28, 0.0]",1.0,80,58,0.25862068965517243,0.05263157894736842,0.1724137931034483,0.22413793103448276
67,Apa saja yang sudah dihasilkan oleh Nanotechnology and Nanomedicine?,"Rekam jejak dari kelompok Nanotechnology and Nanomedicine adalah Pembangkit sensor menggunakan material modifikasi nanopartikel berlian boron-doped untuk sensor elektrokimia antibiotik (ciprofloxacin, levofloxacin, ofloxacin), Pembangkit sensor elektrokimia untuk pemanis menggunakan elektroda intan yang didoping boron, Uji in vitro dan in vivo, seperti uji antibakteri dan antikanker, Analisis dan karakterisasi nanomaterial menggunakan X-Ray, Diffraction, SEM dan TEM, Sensor nanomaterial dari film tipis seperti sinkrotron dan hamburan nuklir.","Maaf, informasi mengenai sumber dana kelompok Nanotechnology and Nanomedicine tidak tersedia dalam konteks yang diberikan.",2.61784291267395,0.4828488697310239,"[7, 3, 2, 1]","[17, 16, 15, 14]","[41.18, 18.75, 13.33, 7.14]",0.02932215912389382,17,77,0.12195121951219512,0.07500000000000001,0.12195121951219512,0.12195121951219512
68,Kelompok Nanotechnology and Nanomedicine mendapatkan sumber dana dari mana?,"Pedanaan penelitian yang diberikan ke kelompok Nanotechnology and Nanomedicine diperoleh dari Hibah internal Riset Mandat Dosen Muda Universitas Airlangga, Hibah program penelitian kolaborasi Indonesia, Penelitian unggulan fakultas internal Universitas Airlangga, Grant penelitian DPRM Kemenristek/BRIN Universitas Airlangga, Grant-In-Aid for Japan Society for the Promotion of Science (JSPS) Research fellow ","Ruang lingkup penelitian Human Factor System Engineering meliputi:

* Manajemen Logistik dan Rantai Pasok
* Sistem Rantai Pasok Berkelanjutan
* Perencanaan Produksi dan Pengendalian Persediaan
* Manajemen Bandara
* Pemodelan Sistem, Optimisasi, dan Simulasi
* Perencanaan Simulasi Industri dan Optimisasi
* Metaheuristik untuk Optimisasi
* Aplikasi Data Mining
* Pemodelan Keputusan, Analisis, dan Pendukung Keputusan
* Rekayasa Sistem Kesehatan
* Ergonomi dan Faktor Manusia
* Rekayasa Kognitif
* Ergonomi Makro
* Perancangan Produk
* Sistem Kesehatan dan Keselamatan Kerja
* Interaksi Manusia-Komputer",4.1601176261901855,0.0,"[5, 0, 0, 0]","[87, 86, 85, 84]","[5.75, 0.0, 0.0, 0.0]",1.0,87,56,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288
69,Apa itu kelompok penelitian Human Factor System Enginering?,"Kelompok penelitian Human Factor and System Engineering adalah research group yang berfokus pada penelitian multidisiplin mengenai hal-hal yang berkaitan dengan manusia dan ergonomi atau tentang bagaimana merancang, mengatur, dan mengaplikasikan kombinasi metodologi antara ilmu rekayasa, sosial, manajemen, dan lainnya untuk menyelesaikan permasalahan nyata dari berbagai domain aplikasi. ","Maaf, informasi mengenai sumber dana kelompok Human Factor System Enginering tidak tersedia dalam konteks yang diberikan.",3.350797176361084,0.0,"[7, 1, 0, 0]","[18, 17, 16, 15]","[38.89, 5.88, 0.0, 0.0]",0.14306668275440818,18,53,0.1875,0.03225806451612903,0.15625,0.15625
70,Bagaimana ruang lingkup kelompok penelitian Human Factor System Enginering?,"Ruang lingkup penelitian Human Factor and System Engineering yaitu Manajemen Logistik dan Rantai Pasok, Pemodelan Sistem, Optimisasi dan Simulasi dan Ergonomi dan Faktor Manusia. ",Advanced Manufacturing and Computational Approach adalah kelompok riset yang aktif terlibat dalam penelitian yang berkaitan dengan sistem manufaktur terkini dan pekerjaan konsultasi di bidang proses manufaktur lanjutan dan pendekatan komputasi.,3.016191244125366,0.0,"[5, 0, 0, 0]","[31, 30, 29, 28]","[16.13, 0.0, 0.0, 0.0]",1.0,31,27,0.1851851851851852,0.0,0.14814814814814814,0.14814814814814814
71,Kelompok Human Factor System Enginering mendapatkan dana dari mana?,"Sumber dana penelitian untuk kelompok penelitian Human Factor and System Engineering diperoleh dari Hibah internal Penelitian Dosen Pemula Universitas Airlangga, Hibah internal Penelitian Unggulan Fakultas Universitas Airlangga, Hibah internal Pengabdian Masyarakat Universitas Airlangga. ","Ruang lingkup Advanced Manufacturing and Computational Approach meliputi:

* Proses Manufaktur Lanjut
* Electropolishing
* Electrochemical Machining
* Additive Manufacturing
* Electrical Discharge Machining
* Perencanaan Jalan Lanjut Robot Industri
* Sistem Kendali Lanjut Robot Industri
* Manufaktur Berkelanjutan
* Pendekatan Komputasi
* Pengoptimalan Meta-heuristik untuk Aplikasi Teknik
* Dinamika Nonlinier
* Metode Perencanaan Gerak Lanjut
* Pemodelan Berbasis Termodinamika
* Sistem Manufaktur
* Produksi dan Manajemen Operasi
* Manajemen Proyek
* Kualitas dan Rekayasa Keandalan
* Desain dan Tata Letak Pabrik
* Perencanaan Produksi dan Pengendalian",4.7507102489471436,0.0,"[2, 0, 0, 0]","[88, 87, 86, 85]","[2.27, 0.0, 0.0, 0.0]",1.0,88,36,0.0392156862745098,0.0,0.0196078431372549,0.0392156862745098
72,Apa itu Advanced Manufacturing and Computational Approach?,Advanced Manufacturing and Computational Approach secara aktif terlibat dalam penelitian yang berkaitan dengan sistem manufaktur terkini dan pekerjaan konsultasi di bidang proses manufaktur lanjutan dan pendekatan komputasi. ,"Kelompok Advanced Manufacturing and Computational Approach mendapatkan dana dari:
- Hibah internal Mandat Mitra Luar Negeri Universitas Airlangga
- Hibah internal Penelitian Unggulan Fakultas Universitas Airlangga
- Hibah internal Pengabdian Masyarakat Universitas Airlangga.
- Pendanaan RISTEK-BRIN Indonesia
- Toray Science Foundation
- Bantuan dana dari PT. Global Meditek Utama sebagai mitra pengmas",3.066390037536621,6.47637082044514,"[6, 4, 3, 2]","[55, 54, 53, 52]","[10.91, 7.41, 5.66, 3.85]",1.0,55,28,0.16216216216216217,0.1111111111111111,0.16216216216216217,0.16216216216216217
73,Bagaimana ruang lingkup Advanced Manufacturing and Computational Approach?,"Ruang lingkup penelitian Advanced Manufacturing and Computational Approach yaitu Proses Manufaktur Lanjut, Pendekatan komputasi, sistem manufaktur.","Data-Driven Decision Support System adalah grup riset yang bertujuan untuk menciptakan solusi dari permasalahan dunia dengan berbasiskan data. Grup riset ini fokus pada penyelesaian permasalahan terkait pengambilan keputusan di bidang kesehatan, sosial komunikasi, bisnis, pendidikan, dan lingkungan.",2.9409329891204834,0.0,"[3, 0, 0, 0]","[43, 42, 41, 40]","[6.98, 0.0, 0.0, 0.0]",1.0,43,19,0.0,0.0,0.0,0.0
74,Kelompok Advanced Manufacturing and Computational Approach mendapatkan dana darimana ? ,"Sumber dana yang diberikan ke kelompok penelitian Advanced Manufacturing and Computational Approach diperoleh dari Hibah internal Mandat Mitra Luar Negeri Universitas Airlangga, Hibah internal Penelitian Unggulan Fakultas Universitas Airlangga, Hibah internal, Pengabdian Masyarakat Universitas Airlangga, Pendanaan RISTEK-BRIN, Indonesia Toray, Science Foundation dan Bantuan dana dari PT. Global Meditek Utama sebagai mitra pengmas","Topik penelitian yang diajukan oleh kelompok Data-Driven Decision Support System adalah:
- Integrated Media & Public Opinion Intelligent System
- Survival Analysis & Health Detection
- Weather & Climate Change Analytics
- Learning Analytics & Technologies",3.5672731399536133,0.0,"[3, 0, 0, 0]","[37, 36, 35, 34]","[8.11, 0.0, 0.0, 0.0]",0.5517862176452085,37,59,0.07317073170731707,0.0,0.04878048780487805,0.04878048780487805
75,Apa itu Data-Driven Decision support System?,"Data-Driven Decision Support System merupakan grup riset yang bertujuan untuk menciptakan solusi dari permasalahan dunia dengan berbasiskan data. Grup riset Data-Driven Decision Support System dibentuk pada tahun 2020 sebagai wadah untuk kolaborasi yang bersifat interdisipliner bagi seorang policy experts, data scientist dan interactive programmers. Grup riset ini fokus pada penyelesaian permasalahan terkait pengambilan keputusan di bidang kesehatan, sosial komunikasi, bisnis, pendidikan, dan lingkungan. ","Kelompok Robotics and Mechatronics adalah kelompok riset multidisiplin yang memiliki basis ilmu teknik yang menggabungkan Teknik Mesin, Teknik Elektro, Ilmu Komputer, dan Teknik Robotika.",2.720107078552246,0.0,"[8, 1, 0, 0]","[28, 27, 26, 25]","[28.57, 3.7, 0.0, 0.0]",0.21530184919758036,28,71,0.0898876404494382,0.0,0.0898876404494382,0.0898876404494382
76,Kelompok Data-Driven Decision support system mengajukan topik apa?,"Topik penelitian pada kelompok penelitian Data-Driven Decision Support System yaitu Integrated Media & Public Opinion Intelligent System, Survival Analysis & Health Detection, Weather & Climate Change Analytics dan Learning Analytics & Technologies ","Kelompok Robotics and Mechatronics ada di bidang multidisiplin yang memiliki basis ilmu teknik yang menggabungkan Teknik Mesin, Teknik Elektro, Ilmu Komputer, dan Teknik Robotika.",2.760103940963745,0.0,"[3, 0, 0, 0]","[28, 27, 26, 25]","[10.71, 0.0, 0.0, 0.0]",0.8071177470053894,28,34,0.07547169811320754,0.0,0.07547169811320754,0.07547169811320754
77,Apa itu kelompok Robotics and Mechatronics?,"Robotics and Mechatronics merupakan kelompok riset multidisiplin yang memiliki basis ilmu teknik yang menggabungkan Teknik Mesin, Teknik Elektro, Ilmu Komputer, dan Teknik Robotika. Dengan kolaborasi antara cabang multidisiplin teknik tersebut, kami mengembangkan aplikasi perangkat yang luas, sistem pintar, robotika, kendaraan pintar, dan prototipe lain yang memiliki dasar disiplin mekatronika yang kuat. ","Kelompok Robotics and Mechatronics mendapatkan dana dari Penelitian Dosen Pemula Universitas Airlangga, PT.Adhikara, dan Adicita Winaya Guna.",4.895642995834351,0.0,"[8, 3, 1, 0]","[22, 21, 20, 19]","[36.36, 14.29, 5.0, 0.0]",0.16986907720473496,22,61,0.14492753623188406,0.05970149253731344,0.11594202898550723,0.11594202898550723
78,Kelompok Robotics and Mechatronics ada di bidang apa?,"Minat bidang kelompok penelitian Robotics and Mechatronics yaitu Pemodelan, identifikasi, dan pengendalian sistem robotik; Robotika biomedis, rehabilitasi, dan bedah; Eksoskeleton, prostetik, dan organ buatan; Desain & mekanisme baru dari Penggerak robotika; Fusi data multi-sensor dan SLAM; Layanan robotika, robotisasi industri, robotika ruang angkasa; Sensorisasi, navigasi robot, robotika komunikasi; Robotika kawanan (terkoneksi), sistem robotik bergerak dan terbang. ","Digital Health, Computational Learning, Intelligent System (DHCIS) adalah kelompok riset teknologi multidisiplin yang bergerak dalam bidang kesehatan (eHealth), ilmu hayati, teknik, dan ilmu komputer. Kelompok riset ini mempelajari bagaimana merancang, mengelola, dan menerapkan kombinasi metodologi sistem cerdas dan sistem komputasi untuk memecahkan masalah pada bidang kesehatan, industri, manufaktur, atau bidang lain.",3.6249125003814697,0.0,"[22, 4, 0, 0]","[67, 66, 65, 64]","[32.84, 6.06, 0.0, 0.0]",0.861350535541493,67,77,0.16822429906542058,0.0,0.11214953271028037,0.11214953271028037
79,Kelompok dari Robotics and Mechatronics mendapatkan dana dari mana?,"Pendanaan penelitian yang diberikan ke kelompok penelitian Robotics and Mechatronics didapat dari Penelitian Dosen Pemula Universitas Airlangga seperti Desain dan Implementasi Low-Cost Automatic Optical Inspection (AOI) Untuk Deteksi Kecacatan Pada Printed Circuit Board (PCB), AIR-Drone (Airlangga Autonomous Air Quality Integrated Multi Sensor –Drone), Integrasi Sistem Multi-gas Sensor pada Quadcopter untuk Mendeteksi Sumber Kebocoran Gas dan Pemetaan Spasial-Temporal Kualitas Udara pada Suatu Wilayah dan Robot BELANTARA (pembersih lantai dan udara) Airlangga sebagai pencegahan penyebaran virus pada area kerja dalam gedung dan ruang isolasi. Dana yang didapatkan dari penelitian kolaborasi dengan eksternal seperti PT.Adhikara – Flow Control System for Amina Distribution dan Adicita Winaya Guna – Xline2020,Modul Robot Edukasi dan Kompetisi Robot Pembelajaran teknologi berjenjang untuk level junior SD, SMP dan SMA.","Kelompok Digital Health, Computational Learning, Intelligent System mencakup bidang:
- Teknologi Kesehatan Digital
- Electronic Health (learning & service) Systems
- Telehealth Apps, devices & systems
- Wearable technology
- Augmented & Virtual Reality
- Health Web &/ Apps based platform
- Computational Intelligence dan Intelligent Systems (CIIS) (umum)
- Kecerdasan Buatan
- Pembelajaran Mesin
- Deep Learning
- Proses Mining
- Sistem Temu Kembali Informasi
- Rekayasa Pengetahuan
- Forecasting–Planning–Scheduling
- Analisis Data Statistik
- Clustering
- Sistem Terdistribusi
- Sistem Tertanam
- Pengenalan Pola
- Computational Intelligence dan Intelligent Systems (CIIS) (detail)
- Kecerdasan Buatan
- Pembelajaran Mesin
- Deep Learning
- Proses Mining
- Pemrosesan Bahasa Alami
- Sistem Temu Kembali Informasi
- Representasi Pengetahuan
- Sistem Knowledge-based
- Forecasting, Planning and Scheduling
- Automated Planning
- Bayesian Networks
- Clustering
- Sistem Kompleks
- Sistem Terdistribusi
- Sistem Tertanam
- Sistem Evolusioner
- Sistem Pakar
- Logika dan Sistem Fuzzy
- Algoritma Genetik
- Pemrograman Genetik
- Sistem Multi Agen
- Neural Fuzzy Systems
- Neural Genetic Systems
- Neural network
- Pengenalan Pola
- Probabilistic Reasoning
- Qualitative Reasoning
- Reinforcement Learning
- Self-Organizing Maps (SOM)
- State Space Search
- Analisis Data Statistik
- Support Vector Machines
- Swarm Intelligence
- Analisis Deret Waktu",10.079652786254883,0.0,"[20, 0, 0, 0]","[228, 227, 226, 225]","[8.77, 0.0, 0.0, 0.0]",1.0,228,137,0.07142857142857142,0.007194244604316547,0.04285714285714286,0.05714285714285715
80,"Apa itu Digital Health, Computational Learning, Intelligent System?","Digital Health, Computational Learning, Intelligent Systems merupakan penelitian teknologi multidisiplin, yang bergerak dalam bidang kesehatan (eHealth), ilmu hayati, teknik dan ilmu komputer. Fokus utama kelompok riset DHCIS adalah mempelajari  bagaimana merancang, mengelola, dan menerapkan kombinasi metodologi sistem cerdas dan sistem komputasi untuk memecahkan masalah pada bidang kesehatan, industri, manufaktur, atau bidang lain.","Sumber dana dari kelompok Digital Health, Compulational Learning, Intelligent didapatkan dari Konsorsium Kemendiktiristek-BRIN Penelitian Dosen Pemula Universitas Airlangga dan Hibah riset mandate khusus Covid-19 tahun 2020.",3.7808773517608643,0.0,"[10, 4, 2, 0]","[29, 28, 27, 26]","[34.48, 14.29, 7.41, 0.0]",0.27919018325723355,29,66,0.2,0.05128205128205129,0.17500000000000002,0.17500000000000002
81,"Kelompok Digital Health, Compulational Learning, Intelligent System mencakup bidang apa?","Bidang cakupan pada kelompok penelitian Digital Health, Computational Learning, Intelligent Systems antara lain Teknologi Kesehatan Digital dan Computational Intelligence dan Intelligent Systems. Pada Teknologi Kesehatan Digital antara lain Electronic Health (learning & service) Systems, Telehealth Apps, devices & systems, Wearable technology, Augmented & Virtual Reality, Health Web &/ Apps based platform. Pada Computational Intelligence dan Intelligent Systems seperti Kecerdasan Buatan, Pembelajaran Mesin, Deep Learning, Proses Mining, Sistem Temu Kembali Informasi, Rekayasa Pengetahuan, Forecasting–Planning–Scheduling, Analisis Data Statistik, Clustering, Sistem Terdistribusi, Sistem Tertanam, Pengenalan Pola.","Berikut adalah publikasi yang dihasilkan dari kelompok Compulational Learning, Intelligent System:

- The Application of Instrumentation System on a Contactless Robotic Triage Assistant to Detect Early Transmission on a COVID-19 suspect
- Transforming Timestamp of a CSV Database to an Event Log
- Memodelkan Penyebaran dan Optimasi SOP Pencegahan COVID-19 dengan Multimethod Simulation Modeling
- Improved Fuzzy Miner Algorithm for Business Process Discovery",10.777156352996826,0.0,"[5, 2, 1, 0]","[65, 64, 63, 62]","[7.69, 3.12, 1.59, 0.0]",0.5240575113736343,65,107,0.056338028169014086,0.014285714285714287,0.056338028169014086,0.056338028169014086
82,Sumber dana dari kelompok Digital Health. Compulational Learning. Intelligent didapatkan dari mana?,"Pendanaan penelitian yang diberikan ke kelompok penelitian Digital Health, Computational Learning, Intelligent Systems didapatkan dari Konsorsium Kemendikti Ristek-BRIN, Penelitian Dosen Pemula Universitas Airlangga dan Hibah riset mandate khusus Covid-19 tahun 2020",Kelompok riset Renewable and Sustainable Energy Technology bergerak di bidang pengembangan teknologi pemanfaatan sumber energi terbarukan.,2.572214365005493,0.0,"[1, 0, 0, 0]","[17, 16, 15, 14]","[5.88, 0.0, 0.0, 0.0]",0.36787944117144233,17,34,0.0816326530612245,0.0,0.0816326530612245,0.0816326530612245
83,"Publikasi apa saja yang dihasilkan dari kelompok Compulational Learning, Intelligent System?","Beberapa publikasi yang pernah diterbitkan oleh kelompok penelitian  Digital Health, Computational Learning, Intelligent Systems yaitu The Application of Instrumentation System on a Contactless Robotic Triage Assistant to Detect Early Transmission on a COVID-19 suspect, Transforming Timestamp of a CSV Database to an Event Log, Memodelkan Penyebaran dan Optimasi SOP Pencegahan COVID-19 dengan Multimethod Simulation Modeling dan Improved Fuzzy Miner Algorithm for Business Process Discovery",Kelompok riset Renewable and Sustainable Energy Technology bergerak di bidang pengembangan teknologi pemanfaatan sumber energi terbarukan.,2.7207746505737305,0.0,"[0, 0, 0, 0]","[17, 16, 15, 14]","[0.0, 0.0, 0.0, 0.0]",0.049787068367863944,17,68,0.024390243902439025,0.0,0.024390243902439025,0.024390243902439025
84,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,"Renewable and Sustainable Energy Tecnology merupakan salah satu grup riset di bawah Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Grup riset yang terdiri dari para dosen Teknik Elektro ini mempunyai fokus riset di bidang pengembangan teknologi pemanfaatan sumber energi terbarukan. Pengembangan teknologi yang dilakukan adalah dari sisi perangkat instrumentasi dan kendali, serta dari sisi pemodelan sistem daya pembangkit listrik energi terbarukan. Grup riset ini melibatkan beberapa mahasiswa yang aktif di bidang elektrikal dan elektronika untuk mengerjakan riset dan pengembangan. Saat ini, pengembangan di bidang energi terbarukan adalah memanfaatkan sebuah Solar Home System 1 kWp yang di pasang di atap Gedung Nanizar Zaman Joenoes, Kampus C, Universitas Airlangga. Beberapa penelitian terkait fasilitas ini yang sedang dikerjakan adalah pengembangan perangkat stasiun cuaca, sistem pemantauan pembangkitan energi surya, perancangan perangkat solar charge controller, analisa stabilitas sistem tenaga listrik, dan pemodelan karakteristik sistem pembangkit.",Intelligent Power and Control Engineering adalah salah satu riset group yang ada dibawah naungan Fakultas Teknologi Maju dan Multidisiplin. Penelitian kami berfokus pada penyelesaian permasalahan yang ada pada bidang rekayasa ketenagalistrikan dan rekayasa kontrol.,3.051431655883789,0.4978917400245117,"[16, 5, 3, 2]","[36, 35, 34, 33]","[44.44, 14.29, 8.82, 6.06]",0.03667882904777631,36,155,0.1724137931034483,0.05813953488372093,0.13793103448275865,0.13793103448275865
85,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,"Bidang minat pada kelompok penelitian Renewable and Sustainable Energy Technology adalah Rekayasa energi surya seperti Konverter DC/DC (solar charge controller), Maximum power point tracking, Smart grid/Off grid Inverters. Minat Sistem Pembangkit Listrik Tenaga Surya seperti Sistem kendali generator dan turbin angin dan Sistem pembangkit listrik tenaga bayu. Minat Wind energy engineering dan pemantauan dan manajemen sistem pembangkit listrik energi terbarukan seperti Sistem monitor dan kendali berbasis IoT, Pemantauan dan prediksi cuaca, Sistem manajemen yang terintegrasi, Pemodelan karakter sistem berbasis kecerdasan buatan.",Kelompok Intelligent Power and Control Engineering bergerak di bidang rekayasa ketenagalistrikan dan rekayasa kontrol.,3.108520030975342,0.0,"[3, 0, 0, 0]","[15, 14, 13, 12]","[20.0, 0.0, 0.0, 0.0]",0.004827949993831441,15,95,0.1443298969072165,0.0,0.08247422680412372,0.08247422680412372
86,Apa itu Intelligent Power and Control Engineering ? ,"Intelligent Power and Control Engineering adalah salah satu riset group yang ada dibawah naungan Fakultas Teknologi Maju dan Multidisiplin. Penelitian kami berfokus pada penyelesain permasalahan yang ada pada bidang rekayasa ketenagalistrikan dan rekayasa kontrol. Ini termasuk Analisa system tenaga, mesin-mesin listrik, tegangan tinggi, kecerdasan buatan pada sistem tenaga, pemodelan dinamik, metode control lanjut dan metode kontrol cerdas.","Maaf, saya tidak menemukan informasi mengenai fasilitas yang ada pada kelompok Intelligent Power and Control Engineering dalam dokumen yang tersedia.",2.817269802093506,3.316681604689262,"[11, 6, 4, 2]","[22, 21, 20, 19]","[50.0, 28.57, 20.0, 10.53]",0.14162883881018593,22,65,0.23076923076923075,0.15789473684210525,0.15384615384615385,0.15384615384615385
87,Kelompok Intelligent Power and Control Engineering  bergerak dibidang apa?,"Bidang minat pada kelompok penelitian Intelligent Power and Control Engineering Rekaya Ketenagalistrikan seperti Analisa Sistem Tenaga, Konversi Energi, Elektronika Daya, Tegangan Tinggi, Mesin Listrik, Integrasi Energi Terbarukan, Kecerdasan  Buatan pada Ketenagalistrikan. Pada minta Rekayasa Kontrol seperti Pemodelan Dinamik, Metode Kontrol Lanjut, Metode Kontrol Cerdas, Metode Kontrol pada Energi Terbarukan dan Instrumentasi","Kelompok Intelligent Power and Control Engineering mendapatkan sumber dana dari:
- Hibah internal Mandat Mitra Luar Negeri Universitas Airlangga
- Hibah internal PDP Universitas Airlangga
- Hibah internal Pengabdian Masyarakat Universitas Airlangga.
- Program Penelitian Kerjasama Indonesia
- Hibah research SATU
- Hibah Kedaireka",4.280482053756714,5.6201769287415955,"[6, 4, 3, 2]","[46, 45, 44, 43]","[13.04, 8.89, 6.82, 4.65]",0.7217424244921066,46,61,0.15730337078651688,0.09195402298850573,0.13483146067415733,0.15730337078651688
88,Apa saja fasilitas yang ada pada kelompok Intelligent power and Control Engineering?,"Fasilitas penelitian pada kelompok penelitian Intelligent Power and Control Engineering seperti Mechanical Solar Tracker, Hybrid Vehicles Simulator, 11 kW Rooftop PV Plant, Airfeel Weather Station, Blade Pitch Angle Wind Turbine Simulator, MATLAB/SIMULINK ",,,0.0,"[0, 0, 0, 0]","[1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]",3.1391327920480296e-17,1,39,0.0,0.0,0.0,0.0
89,Kelompok Intelligent Power and Control Engineering mendapatkan sumber dana darimana?,"Dana penelitian yang diberikan ke kelompok penelitian Intelligent Power and Control Engineering diperoleh dari Hibah internal Mandat Mitra Luar Negeri Universitas Airlangga, Hibah internal PDP Universitas Airlangga, Hibah internal Pengabdian Masyarakat Universitas Airlangga, Program Penelitian Kerjasama Indonesia, Hibah research SATU dan Hibah Kedaireka",,,0.0,"[0, 0, 0, 0]","[1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]",1.0530617357553812e-20,1,47,0.0,0.0,0.0,0.0
